Spot_Name,District,Category,Year,Month,Season,Festival,Total_Visitors
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,May,Summer,Buddha Purnima,4671
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,June,Monsoon,None,3509
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,July,Monsoon,Bonalu,3633
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4128
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,September,Monsoon,Vinayaka Chavithi,4399
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,October,Post-Monsoon,"Bathukamma, Dussehra",9251
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,November,Winter,Diwali,11217
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,December,Winter,Christmas,11201
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,January,Winter,"Bhogi, Sankranti",12232
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,February,Winter,Maha Shivaratri,10570
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,March,Summer,Holi,5726
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,April,Summer,"Ugadi, Sri Rama Navami",6572
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,May,Summer,Buddha Purnima,5445
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,June,Monsoon,None,4347
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,July,Monsoon,Bonalu,3953
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",4715
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,September,Monsoon,Vinayaka Chavithi,4782
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,October,Post-Monsoon,"Bathukamma, Dussehra",9221
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,November,Winter,Diwali,11703
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2025,December,Winter,Christmas,12444
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,January,Winter,"Bhogi, Sankranti",19928
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,February,Winter,Maha Shivaratri,16074
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,March,Summer,Holi,10758
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",9713
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,May,Summer,Buddha Purnima,8870
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,June,Monsoon,None,6817
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,July,Monsoon,Bonalu,6022
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",7164
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,September,Monsoon,Vinayaka Chavithi,7641
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",15153
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,November,Winter,Diwali,16210
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2024,December,Winter,Christmas,19101
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,January,Winter,"Bhogi, Sankranti",19603
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,February,Winter,Maha Shivaratri,18618
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,March,Summer,Holi,10358
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",12155
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,May,Summer,Buddha Purnima,8942
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,June,Monsoon,None,6529
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,July,Monsoon,Bonalu,7121
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",7473
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,September,Monsoon,Vinayaka Chavithi,8305
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",17885
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,November,Winter,Diwali,17452
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,religious,2025,December,Winter,Christmas,20749
Ali Sagar Dam,Nizamabad,leisure,2024,January,Winter,"Bhogi, Sankranti",11327
Ali Sagar Dam,Nizamabad,leisure,2024,February,Winter,Maha Shivaratri,10207
Ali Sagar Dam,Nizamabad,leisure,2024,March,Summer,Holi,5502
Ali Sagar Dam,Nizamabad,leisure,2024,April,Summer,"Ugadi, Sri Rama Navami",5691
Ali Sagar Dam,Nizamabad,leisure,2024,May,Summer,Buddha Purnima,5158
Ali Sagar Dam,Nizamabad,leisure,2024,June,Monsoon,None,3637
Ali Sagar Dam,Nizamabad,leisure,2024,July,Monsoon,Bonalu,3742
Ali Sagar Dam,Nizamabad,leisure,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4375
Ali Sagar Dam,Nizamabad,leisure,2024,September,Monsoon,Vinayaka Chavithi,4284
Ali Sagar Dam,Nizamabad,leisure,2024,October,Post-Monsoon,"Bathukamma, Dussehra",9173
Ali Sagar Dam,Nizamabad,leisure,2024,November,Winter,Diwali,10400
Ali Sagar Dam,Nizamabad,leisure,2024,December,Winter,Christmas,10708
Ali Sagar Dam,Nizamabad,leisure,2025,January,Winter,"Bhogi, Sankranti",13203
Ali Sagar Dam,Nizamabad,leisure,2025,February,Winter,Maha Shivaratri,10860
Ali Sagar Dam,Nizamabad,leisure,2025,March,Summer,Holi,5956
Ali Sagar Dam,Nizamabad,leisure,2025,April,Summer,"Ugadi, Sri Rama Navami",6796
Ali Sagar Dam,Nizamabad,leisure,2025,May,Summer,Buddha Purnima,5164
Ali Sagar Dam,Nizamabad,leisure,2025,June,Monsoon,None,4023
Ali Sagar Dam,Nizamabad,leisure,2025,July,Monsoon,Bonalu,4223
Ali Sagar Dam,Nizamabad,leisure,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",4454
Ali Sagar Dam,Nizamabad,leisure,2025,September,Monsoon,Vinayaka Chavithi,5021
Ali Sagar Dam,Nizamabad,leisure,2025,October,Post-Monsoon,"Bathukamma, Dussehra",9995
Ali Sagar Dam,Nizamabad,leisure,2025,November,Winter,Diwali,11525
Ali Sagar Dam,Nizamabad,leisure,2025,December,Winter,Christmas,13130
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,January,Winter,"Bhogi, Sankranti",18564
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,February,Winter,Maha Shivaratri,15888
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,March,Summer,Holi,9418
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",9823
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,May,Summer,Buddha Purnima,8416
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,June,Monsoon,None,6127
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,July,Monsoon,Bonalu,6298
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",7528
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,September,Monsoon,Vinayaka Chavithi,7460
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",16348
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,November,Winter,Diwali,17001
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2024,December,Winter,Christmas,21203
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,January,Winter,"Bhogi, Sankranti",20933
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,February,Winter,Maha Shivaratri,17067
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,March,Summer,Holi,10075
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11327
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,May,Summer,Buddha Purnima,9023
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,June,Monsoon,None,6738
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,July,Monsoon,Bonalu,6868
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",7779
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,September,Monsoon,Vinayaka Chavithi,7710
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",15213
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,November,Winter,Diwali,18191
Sri Sita Rama Temple,Bhadradri Kothagudem,religious,2025,December,Winter,Christmas,21021
Godavari Ghat,Bhadradri Kothagudem,other,2024,January,Winter,"Bhogi, Sankranti",9498
Godavari Ghat,Bhadradri Kothagudem,other,2024,February,Winter,Maha Shivaratri,7741
Godavari Ghat,Bhadradri Kothagudem,other,2024,March,Summer,Holi,4971
Godavari Ghat,Bhadradri Kothagudem,other,2024,April,Summer,"Ugadi, Sri Rama Navami",5219
Godavari Ghat,Bhadradri Kothagudem,other,2024,May,Summer,Buddha Purnima,4038
Godavari Ghat,Bhadradri Kothagudem,other,2024,June,Monsoon,None,3035
Godavari Ghat,Bhadradri Kothagudem,other,2024,July,Monsoon,Bonalu,3115
Godavari Ghat,Bhadradri Kothagudem,other,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",3408
Godavari Ghat,Bhadradri Kothagudem,other,2024,September,Monsoon,Vinayaka Chavithi,3794
Godavari Ghat,Bhadradri Kothagudem,other,2024,October,Post-Monsoon,"Bathukamma, Dussehra",7834
Godavari Ghat,Bhadradri Kothagudem,other,2024,November,Winter,Diwali,9081
Godavari Ghat,Bhadradri Kothagudem,other,2024,December,Winter,Christmas,9824
Godavari Ghat,Bhadradri Kothagudem,other,2025,January,Winter,"Bhogi, Sankranti",9450
Godavari Ghat,Bhadradri Kothagudem,other,2025,February,Winter,Maha Shivaratri,8498
Godavari Ghat,Bhadradri Kothagudem,other,2025,March,Summer,Holi,5460
Godavari Ghat,Bhadradri Kothagudem,other,2025,April,Summer,"Ugadi, Sri Rama Navami",5672
Godavari Ghat,Bhadradri Kothagudem,other,2025,May,Summer,Buddha Purnima,4680
Godavari Ghat,Bhadradri Kothagudem,other,2025,June,Monsoon,None,3880
Godavari Ghat,Bhadradri Kothagudem,other,2025,July,Monsoon,Bonalu,3450
Godavari Ghat,Bhadradri Kothagudem,other,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",4125
Godavari Ghat,Bhadradri Kothagudem,other,2025,September,Monsoon,Vinayaka Chavithi,4218
Godavari Ghat,Bhadradri Kothagudem,other,2025,October,Post-Monsoon,"Bathukamma, Dussehra",8498
Godavari Ghat,Bhadradri Kothagudem,other,2025,November,Winter,Diwali,9157
Godavari Ghat,Bhadradri Kothagudem,other,2025,December,Winter,Christmas,10461
Bogatha Waterfall,Mulugu,religious,2024,January,Winter,"Bhogi, Sankranti",18357
Bogatha Waterfall,Mulugu,religious,2024,February,Winter,Maha Shivaratri,16575
Bogatha Waterfall,Mulugu,religious,2024,March,Summer,Holi,9771
Bogatha Waterfall,Mulugu,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",10447
Bogatha Waterfall,Mulugu,religious,2024,May,Summer,Buddha Purnima,9577
Bogatha Waterfall,Mulugu,religious,2024,June,Monsoon,None,5549
Bogatha Waterfall,Mulugu,religious,2024,July,Monsoon,Bonalu,6528
Bogatha Waterfall,Mulugu,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",6752
Bogatha Waterfall,Mulugu,religious,2024,September,Monsoon,Vinayaka Chavithi,7395
Bogatha Waterfall,Mulugu,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",16327
Bogatha Waterfall,Mulugu,religious,2024,November,Winter,Diwali,17560
Bogatha Waterfall,Mulugu,religious,2024,December,Winter,Christmas,17940
Bogatha Waterfall,Mulugu,religious,2025,January,Winter,"Bhogi, Sankranti",19884
Bogatha Waterfall,Mulugu,religious,2025,February,Winter,Maha Shivaratri,18731
Bogatha Waterfall,Mulugu,religious,2025,March,Summer,Holi,10420
Bogatha Waterfall,Mulugu,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11358
Bogatha Waterfall,Mulugu,religious,2025,May,Summer,Buddha Purnima,9291
Bogatha Waterfall,Mulugu,religious,2025,June,Monsoon,None,6394
Bogatha Waterfall,Mulugu,religious,2025,July,Monsoon,Bonalu,7547
Bogatha Waterfall,Mulugu,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8183
Bogatha Waterfall,Mulugu,religious,2025,September,Monsoon,Vinayaka Chavithi,7351
Bogatha Waterfall,Mulugu,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16878
Bogatha Waterfall,Mulugu,religious,2025,November,Winter,Diwali,18278
Bogatha Waterfall,Mulugu,religious,2025,December,Winter,Christmas,21352
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,January,Winter,"Bhogi, Sankranti",12033
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,February,Winter,Maha Shivaratri,10944
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,March,Summer,Holi,6737
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",7123
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,May,Summer,Buddha Purnima,5294
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,June,Monsoon,None,3949
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,July,Monsoon,Bonalu,4043
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4662
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,September,Monsoon,Vinayaka Chavithi,5408
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",10366
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,November,Winter,Diwali,10762
Kinnerasani Dam,Bhadradri Kothagudem,nature,2024,December,Winter,Christmas,13014
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,January,Winter,"Bhogi, Sankranti",14968
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,February,Winter,Maha Shivaratri,12501
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,March,Summer,Holi,6558
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",7195
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,May,Summer,Buddha Purnima,6468
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,June,Monsoon,None,4184
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,July,Monsoon,Bonalu,4572
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",5406
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,September,Monsoon,Vinayaka Chavithi,5119
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",10941
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,November,Winter,Diwali,10394
Kinnerasani Dam,Bhadradri Kothagudem,nature,2025,December,Winter,Christmas,12750
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,January,Winter,"Bhogi, Sankranti",12372
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,February,Winter,Maha Shivaratri,10320
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,March,Summer,Holi,7107
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",6339
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,May,Summer,Buddha Purnima,5508
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,June,Monsoon,None,4042
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,July,Monsoon,Bonalu,4440
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4473
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,September,Monsoon,Vinayaka Chavithi,5259
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",10166
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,November,Winter,Diwali,10922
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2024,December,Winter,Christmas,12730
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,January,Winter,"Bhogi, Sankranti",13667
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,February,Winter,Maha Shivaratri,11531
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,March,Summer,Holi,7122
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",7231
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,May,Summer,Buddha Purnima,6118
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,June,Monsoon,None,4481
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,July,Monsoon,Bonalu,4828
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",4883
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,nature,2025,September,Monsoon,Vinayaka Chavithi,5940
