spot_name,district,amenity_name,amenity_type,lat,lon
Edupayala Vana Durga Bhavani Temple,Medak,Telangana Grameena Bank ATM,atm,17.9613,78.1305
Edupayala Vana Durga Bhavani Temple,Medak,Government Area Hospital,hospital,17.9645,78.1297
Singur Dam,Sangareddy,TSTDC Haritha Tourism Restaurant,restaurant,17.7487,77.8117
Medak Church,Medak,Sri Venkateswara Hotel & Dining,restaurant,18.045,78.263
Medak Church,Medak,Telangana Grameena Bank ATM,atm,18.0423,78.2608
Medak Church,Medak,Government Area Hospital,hospital,18.0455,78.26
Pillalamarri / Big Banyan Tree,Mahabubnagar,Deccan Spice Restaurant,restaurant,16.7475,78.0122
Pillalamarri / Big Banyan Tree,Mahabubnagar,State Bank of India (SBI) ATM,atm,16.7448,78.01
Pillalamarri / Big Banyan Tree,Mahabubnagar,Government Primary Health Centre,hospital,16.748,78.0092
Yadagirigutta,Yadadri Bhuvanagiri,Sri Lakshmi Narasimha Mess,restaurant,17.5903,78.9509
Yadagirigutta,Yadadri Bhuvanagiri,Union Bank of India ATM,atm,17.5876,78.9487
Yadagirigutta,Yadadri Bhuvanagiri,Yadadri Community Health Center,hospital,17.5908,78.9479
Pocharam Dam & Wildlife Sanctuary,Medak,Sri Venkateswara Hotel & Dining,restaurant,18.1515,78.1912
Vemulawada Raja Rajeshwara Swamy Temple,Rajanna Sircilla,Deccan Spice Restaurant,restaurant,18.3655,78.8362
Vemulawada Raja Rajeshwara Swamy Temple,Rajanna Sircilla,Telangana Grameena Bank ATM,atm,18.3628,78.834
Vemulawada Raja Rajeshwara Swamy Temple,Rajanna Sircilla,Government Area Hospital,hospital,18.366,78.8332
Purana Haveli,Hyderabad,Minerva Coffee Room,restaurant,17.4248,78.4546
Purana Haveli,Hyderabad,Union Bank of India ATM,atm,17.4221,78.4524
Purana Haveli,Hyderabad,NIMS Hospital Punjagutta,hospital,17.4253,78.4516
Mecca Masjid,Hyderabad,Exotica Restaurant,restaurant,17.3621,78.4747
Mecca Masjid,Hyderabad,SBI ATM Main Branch,atm,17.3594,78.4725
Mecca Masjid,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.3626,78.4717
Chilukur Balaji Temple,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.3501,78.4223
Chilukur Balaji Temple,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.3474,78.4201
Chilukur Balaji Temple,Ranga Reddy,Government Primary Health Centre,hospital,17.3506,78.4193
Kamaldham Mandir / Lotus Temple,Ranga Reddy,TSTDC Haritha Tourism Restaurant,restaurant,17.2521,78.4173
Kamaldham Mandir / Lotus Temple,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.2494,78.4151
Kamaldham Mandir / Lotus Temple,Ranga Reddy,Government Area Hospital,hospital,17.2526,78.4143
Keesara Gutta,Medchal-Malkajgiri,Sri Venkateswara Hotel & Dining,restaurant,17.5265,78.6822
Keesara Gutta,Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.5238,78.68
Keesara Gutta,Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.527,78.6792
Nagarjuna Sagar,Nalgonda,Deccan Spice Restaurant,restaurant,16.496553,79.195839
Nagarjuna Sagar,Nalgonda,Telangana Grameena Bank ATM,atm,16.493853,79.193639
Nagarjuna Sagar,Nalgonda,Government Area Hospital,hospital,16.497053,79.192839
Maula Ali Dargah,Medchal-Malkajgiri,TSTDC Haritha Tourism Restaurant,restaurant,17.4891,78.5175
Maula Ali Dargah,Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.4864,78.5153
Maula Ali Dargah,Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.4896,78.5145
Paigah Tombs,Hyderabad,Shah Ghouse Hotel,restaurant,17.3453,78.5
Paigah Tombs,Hyderabad,HDFC Bank ATM,atm,17.3426,78.4978
Paigah Tombs,Hyderabad,KIMS Hospital Secunderabad,hospital,17.3458,78.497
Sanghi Temple,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.2675,78.6832
Sanghi Temple,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.2648,78.681
Sanghi Temple,Ranga Reddy,Government Primary Health Centre,hospital,17.268,78.6802
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,Exotica Restaurant,restaurant,17.4418,78.4306
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,Axis Bank ATM,atm,17.4391,78.4284
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,Osmania General Hospital,hospital,17.4423,78.4276
St. Joseph's Cathedral,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.397244,78.478603
St. Joseph's Cathedral,Hyderabad,Union Bank of India ATM,atm,17.394544,78.476403
St. Joseph's Cathedral,Hyderabad,NIMS Hospital Punjagutta,hospital,17.397744,78.475603
Toli Masjid,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.4598,78.4146
Toli Masjid,Hyderabad,SBI ATM Main Branch,atm,17.4571,78.4124
Toli Masjid,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.4603,78.4116
Hussain Sagar & Necklace Road,Hyderabad,Bavarchi Restaurant,restaurant,17.424477,78.475752
Hussain Sagar & Necklace Road,Hyderabad,HDFC Bank ATM,atm,17.421777,78.473552
Hussain Sagar & Necklace Road,Hyderabad,KIMS Hospital Secunderabad,hospital,17.424977,78.472752
Durgam Cheruvu / Secret Lake,Ranga Reddy,Sri Venkateswara Hotel & Dining,restaurant,17.432554,78.391197
Durgam Cheruvu / Secret Lake,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.429854,78.388997
Durgam Cheruvu / Secret Lake,Ranga Reddy,Government Area Hospital,hospital,17.433054,78.388197
Himayat Sagar Lake,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.315006,78.354832
Himayat Sagar Lake,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.312306,78.352632
Himayat Sagar Lake,Ranga Reddy,Government Primary Health Centre,hospital,17.315506,78.351832
Osman Sagar Lake / Gandipet,Ranga Reddy,TSTDC Haritha Tourism Restaurant,restaurant,17.376205,78.288966
Osman Sagar Lake / Gandipet,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.373505,78.286766
Osman Sagar Lake / Gandipet,Ranga Reddy,Government Area Hospital,hospital,17.376705,78.285966
Botanical Gardens,Ranga Reddy,Sri Venkateswara Hotel & Dining,restaurant,17.457199,78.363418
Botanical Gardens,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.454498,78.361218
Botanical Gardens,Ranga Reddy,Government Primary Health Centre,hospital,17.457698,78.360418
Indira Park,Hyderabad,Exotica Restaurant,restaurant,17.4162,78.4843
Indira Park,Hyderabad,HDFC Bank ATM,atm,17.4135,78.4821
Indira Park,Hyderabad,KIMS Hospital Secunderabad,hospital,17.4167,78.4813
Krishna Kanth Park,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.4568,78.4476
Krishna Kanth Park,Hyderabad,ICICI Bank ATM,atm,17.4541,78.4454
Krishna Kanth Park,Hyderabad,Yashoda Hospital Malakpet,hospital,17.4573,78.4446
Mrigavani National Park,Ranga Reddy,Sri Venkateswara Hotel & Dining,restaurant,17.2961,78.3943
Mrigavani National Park,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.2934,78.3921
Mrigavani National Park,Ranga Reddy,Government Area Hospital,hospital,17.2966,78.3913
NTR Gardens,Hyderabad,Bavarchi Restaurant,restaurant,17.4143,78.472
NTR Gardens,Hyderabad,Union Bank of India ATM,atm,17.4116,78.4698
NTR Gardens,Hyderabad,NIMS Hospital Punjagutta,hospital,17.4148,78.469
Public Gardens,Hyderabad,Chutneys Restaurant,restaurant,17.4006,78.4715
Public Gardens,Hyderabad,SBI ATM Main Branch,atm,17.3979,78.4693
Public Gardens,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.4011,78.4685
Sanjeeviah Park,Hyderabad,Paradise Biryani,restaurant,17.4488,78.4266
Sanjeeviah Park,Hyderabad,HDFC Bank ATM,atm,17.4461,78.4244
Sanjeeviah Park,Hyderabad,KIMS Hospital Secunderabad,hospital,17.4493,78.4236
KBR National Park,Hyderabad,Shah Ghouse Hotel,restaurant,17.4218,78.4217
KBR National Park,Hyderabad,ICICI Bank ATM,atm,17.4191,78.4195
KBR National Park,Hyderabad,Yashoda Hospital Malakpet,hospital,17.4223,78.4187
Mahavir Harina Vanasthali National Park,Ranga Reddy,TSTDC Haritha Tourism Restaurant,restaurant,17.362514,78.609038
Mahavir Harina Vanasthali National Park,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.359814,78.606838
Mahavir Harina Vanasthali National Park,Ranga Reddy,Government Primary Health Centre,hospital,17.363014,78.606038
Telangana State Museum,Hyderabad,Exotica Restaurant,restaurant,17.4268,78.4166
Telangana State Museum,Hyderabad,Union Bank of India ATM,atm,17.4241,78.4144
Telangana State Museum,Hyderabad,NIMS Hospital Punjagutta,hospital,17.4273,78.4136
Archival Museum,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.4538,78.4766
Archival Museum,Hyderabad,SBI ATM Main Branch,atm,17.4511,78.4744
Archival Museum,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.4543,78.4736
Nizam's Museum,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.366544,78.48447
Nizam's Museum,Hyderabad,HDFC Bank ATM,atm,17.363844,78.48227
Nizam's Museum,Hyderabad,KIMS Hospital Secunderabad,hospital,17.367044,78.48147
Shamir Pet,Medchal-Malkajgiri,Sri Venkateswara Hotel & Dining,restaurant,17.6265,78.5672
Shamir Pet,Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.6238,78.565
Shamir Pet,Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.627,78.5642
Ocean Park,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.391286,78.330144
Ocean Park,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.388586,78.327944
Ocean Park,Ranga Reddy,Government Area Hospital,hospital,17.391786,78.327144
Shilparamam,Ranga Reddy,TSTDC Haritha Tourism Restaurant,restaurant,17.4543,78.3805
Shilparamam,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.4516,78.3783
Shilparamam,Ranga Reddy,Government Primary Health Centre,hospital,17.4548,78.3775
Assembly,Hyderabad,Shah Ghouse Hotel,restaurant,17.3998,78.4116
Assembly,Hyderabad,SBI ATM Main Branch,atm,17.3971,78.4094
Assembly,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.4003,78.4086
Mount Opera,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.316593,78.722975
Mount Opera,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.313893,78.720775
Mount Opera,Ranga Reddy,Government Primary Health Centre,hospital,17.317093,78.719975
Peddamma Temple,Hyderabad,Exotica Restaurant,restaurant,17.435,78.4077
Peddamma Temple,Hyderabad,ICICI Bank ATM,atm,17.4323,78.4055
Peddamma Temple,Hyderabad,Yashoda Hospital Malakpet,hospital,17.4355,78.4047
Medak Fort,Medak,Sri Venkateswara Hotel & Dining,restaurant,18.0475,78.2442
Medak Fort,Medak,State Bank of India (SBI) ATM,atm,18.0448,78.242
Medak Fort,Medak,Government Primary Health Centre,hospital,18.048,78.2412
Kuntala Waterfalls,Adilabad,Deccan Spice Restaurant,restaurant,19.2801,78.4867
Pochera Waterfalls,Adilabad,TSTDC Haritha Tourism Restaurant,restaurant,19.292,78.3762
Jainath Temple,Adilabad,Sri Venkateswara Hotel & Dining,restaurant,19.307,78.4542
Jainath Temple,Adilabad,Telangana Grameena Bank ATM,atm,19.3043,78.452
Jainath Temple,Adilabad,Government Area Hospital,hospital,19.3075,78.4512
Hanuman statue,Bhadradri Kothagudem,Deccan Spice Restaurant,restaurant,17.675066,80.886734
Hanuman statue,Bhadradri Kothagudem,State Bank of India (SBI) ATM,atm,17.672366,80.884534
Hanuman statue,Bhadradri Kothagudem,Government Primary Health Centre,hospital,17.675566,80.883734
Bhadrakali Lake,Hanumakonda,Haritha Kakatiya Hotel,restaurant,17.991388,79.581952
Bhadrakali Lake,Hanumakonda,State Bank of India ATM,atm,17.988688,79.579752
Bhadrakali Lake,Hanumakonda,Rohini Super Speciality Hospital,hospital,17.991888,79.578952
Kakatiya Zoological Park,Hanumakonda,Mourya Hotel & Dining,restaurant,17.9948,79.5616
Kakatiya Zoological Park,Hanumakonda,Telangana Grameena Bank ATM,atm,17.9921,79.5594
Kakatiya Zoological Park,Hanumakonda,MGM Government Hospital,hospital,17.9953,79.5586
Kothakonda Peak,Hanumakonda,Sri Kanya Comfort Restaurant,restaurant,18.043655,79.313573
Kothakonda Peak,Hanumakonda,HDFC Bank ATM,atm,18.040955,79.311373
Kothakonda Peak,Hanumakonda,Jaya Hospitals,hospital,18.044155,79.310573
Public Garden (Hanumakonda),Hanumakonda,Subhedari Hotel & Restaurant,restaurant,18.0103,79.5613
Public Garden (Hanumakonda),Hanumakonda,State Bank of India ATM,atm,18.0076,79.5591
Public Garden (Hanumakonda),Hanumakonda,Rohini Super Speciality Hospital,hospital,18.0108,79.5583
Shiva Parvathi Statue,Hanumakonda,Haritha Kakatiya Hotel,restaurant,17.996834,79.5846
Shiva Parvathi Statue,Hanumakonda,Telangana Grameena Bank ATM,atm,17.994134,79.5824
Shiva Parvathi Statue,Hanumakonda,MGM Government Hospital,hospital,17.997334,79.5816
Yerragattu Gutta,Hanumakonda,Mourya Hotel & Dining,restaurant,18.056744,79.534483
Yerragattu Gutta,Hanumakonda,HDFC Bank ATM,atm,18.054044,79.532283
Yerragattu Gutta,Hanumakonda,Jaya Hospitals,hospital,18.057244,79.531483
Inavolu Mallikarjuna Swamy Temple,Hanumakonda,Sri Kanya Comfort Restaurant,restaurant,17.9971,79.4981
Inavolu Mallikarjuna Swamy Temple,Hanumakonda,State Bank of India ATM,atm,17.9944,79.4959
Inavolu Mallikarjuna Swamy Temple,Hanumakonda,Rohini Super Speciality Hospital,hospital,17.9976,79.4951
Annamayya Concert Bhavan,Hyderabad,Paradise Biryani,restaurant,17.462033,78.377254
Annamayya Concert Bhavan,Hyderabad,SBI ATM Main Branch,atm,17.459333,78.375054
Annamayya Concert Bhavan,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.462533,78.374254
Annapurna Studios,Hyderabad,Shah Ghouse Hotel,restaurant,17.430011,78.42489
Annapurna Studios,Hyderabad,HDFC Bank ATM,atm,17.427311,78.42269
Annapurna Studios,Hyderabad,KIMS Hospital Secunderabad,hospital,17.430511,78.42189
Arts College (Osmania University),Hyderabad,Minerva Coffee Room,restaurant,17.420702,78.52751
Arts College (Osmania University),Hyderabad,ICICI Bank ATM,atm,17.418002,78.52531
Arts College (Osmania University),Hyderabad,Yashoda Hospital Malakpet,hospital,17.421202,78.52451
Banjara Lake,Hyderabad,Exotica Restaurant,restaurant,17.412254,78.449114
